City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
138,margaret river,-33.95,115.0667,15.15,52,52,4.83,AU,1712352109
139,sitka,57.0531,-135.33,5.94,75,100,3.09,US,1712352272
140,invercargill,-46.4,168.35,11.68,93,95,2.68,NZ,1712352117
141,codrington,-38.2667,141.9667,11.26,96,62,2.49,AU,1712352273
142,sao vicente,-23.9631,-46.3919,27.37,65,40,2.68,BR,1712352243
143,bontang,0.1333,117.5,26.48,86,99,4.12,ID,1712352273
144,san antonio de pale,-1.4014,5.6325,28.67,77,96,3.26,GQ,1712352274
145,saint-joseph,-21.3667,55.6167,25.21,86,24,0.41,RE,1712352274
146,talnakh,69.4865,88.3972,-12.66,95,100,8.52,RU,1712352275
147,homer,59.6425,-151.5483,3.93,74,40,5.14,US,1712352275
148,namsos,64.4662,11.4957,1.03,69,100,1.03,NO,1712352131
149,siwa oasis,29.2041,25.5195,21.25,36,0,5.46,EG,1712352276
150,sungai raya,0.7,108.9,25.59,86,92,1.48,ID,1712352276
151,mont-dore,-22.2833,166.5833,26.67,99,100,3.0,NC,1712352277
152,akim swedru,5.8938,-1.0164,25.53,91,82,1.7,GH,1712352277
153,recani,31.2846,-4.2688,24.22,15,40,3.01,MA,1712352277
154,port augusta,-32.5,137.7667,14.05,70,0,2.76,AU,1712352278
155,arraial do cabo,-22.9661,-42.0278,24.98,83,40,3.6,BR,1712352278
156,gadzhiyevo,69.2551,33.3362,-12.38,90,35,5.21,RU,1712352278
157,flying fish cove,-10.4217,105.6791,24.82,100,100,1.54,CX,1712352279
158,punta arenas,-53.15,-70.9167,13.06,58,75,16.46,CL,1712352234
159,kismayo,-0.3582,42.5454,29.18,74,67,3.99,SO,1712352279
160,zambezi,-13.5432,23.1047,19.37,95,93,2.0,ZM,1712352280
161,scone,56.4194,-3.4051,7.2,96,100,1.18,GB,1712352280
162,farasan,16.7022,42.1183,28.69,76,60,1.91,SA,1712352280
163,magadan,59.5667,150.8,-9.71,89,40,2.43,RU,1712352281
164,fortuna,40.5982,-124.1573,12.59,66,40,8.23,US,1712351753
165,port alfred,-33.5906,26.891,16.21,84,100,3.86,ZA,1712352114
